ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,xd_ids,Glottolog_Name,Family_ID
Alike,Alike,,34.5177,100.485,amdo1237,,,Amdo Tibetan,sino1245
Batang,Batang,,31.9313,91.7062,kham1282,,,Khams Tibetan,sino1245
Gyalsumdo,Gyalsumdo,,28.53256,84.33953,gyal1236,,,Gyalsumdo,sino1245
Jirel,Jirel,,27.6931,86.3201,jire1238,,,Jirel,sino1245
Kagate,Kagate,,27.4492,86.1675,kaga1252,,,Kagate,sino1245
Lhasa,Lhasa,,,,utsa1239,,,Lhasa Tibetan,sino1245
Lowa,Lowa,,28.3681,90.1872,tibe1272,,,Tibetan,sino1245
Nubri,Nubri,,,,nubr1243,,,Nubri,sino1245
OldChinese,OldChinese,,36.12,114.32,oldc1244,,,Old Chinese,sino1245
OldTibetan,OldTibetan,,29.24,92.01,clas1254,,,Classical Tibetan,sino1245
Sherpa,Sherpa,,27.674,86.9994,sher1255,,,Solu-Khumbu Sherpa,sino1245
Tsum,Tsum,,28.4719,85.0817,tsum1240,,,Tsum,sino1245
Xiahe,Xiahe,,34.5177,100.485,amdo1237,,,Amdo Tibetan,sino1245
Yolmo,Yolmo,,27.9212,85.6289,hela1238,,,Lamjung-Melamchi Yolmo,sino1245
