ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,xd_ids,Glottolog_Name,Family_ID
Achagua,Achagua,,4.38649,-72.2005,acha1250,,,Achagua,araw1281
Amuesha,Amuesha,,-10.5454,-75.315,yane1238,,,Yanesha',araw1281
Anauya,Anauya,,1.480584,-65.413237,anau1243,,,Anauyá,araw1281
Apurina,Apurina,,-8.21692,-66.7714,apur1254,,,Apurinã,araw1281
Arua,Arua,,-0.608631,-50.123291,arua1264,,,Aruan,araw1281
Asheninka,Asheninka,,-11.9311,-73.9073,asha1243,,,Asháninka,araw1281
Bahuana,Bahuana,,0.83868,-63.452927,xiri1243,,,Xiriâna,araw1281
Baniva,Baniva,,5.26123,-67.5633,bani1254,,,Avane,araw1281
Baniwa,Baniwa,,,,bani1259,,,Baniwa-Curripaco,araw1281
Bare,Bare,,1.91649,-66.828,bare1276,,,Baré,araw1281
Baure,Baure,,-13.61,-63.68,baur1253,,,Baure,araw1281
Cabiai,Cabiai,,-1.072848,-62.887131,cari1280,,,Cariay,araw1281
Cabiyari,Cabiyari,,0.16101,-71.0622,cabi1241,,,Cabiyarí,araw1281
Caquinte,Caquinte,,-11.4812,-73.4451,caqu1242,,,Caquinte,araw1281
Chamicuro,Chamicuro,,-5.1149,-75.6778,cham1318,,,Chamicuro,araw1281
EnaweneMawe,EnaweneMawe,,-12.4302,-58.9802,enaw1238,,,Enawené-Nawé,araw1281
Garifuna,Garifuna,,15.3529,-86.9091,gari1256,,xd1323,Garifuna,araw1281
Guajiro,Guajiro,,11.395566,-72.199791,wayu1243,,,Wayuu,araw1281
Guarekena,Guarekena,,2.904099,-67.092099,ware1255,,,Warekena do San Miguel,araw1281
Guinau,Guinau,,4.797607,-64.73877,guin1258,,,Guinau,araw1281
Ignaciano,Ignaciano,,-15.1188,-65.3993,igna1246,,,Ignaciano,araw1281
Inapari,Inapari,,-12.4653,-69.3083,inap1243,,,Modern Iñapari,araw1281
IslandCarib,IslandCarib,,15.364795,-61.342957,isla1278,,xd1326,Island Carib,araw1281
Karutana,Karutana,,2.17859,-67.7704,bani1255,,,Baniwa do Icana,araw1281
Kauixana,Kauixana,,-2.171598,-67.319199,kais1242,,,Kaishana,araw1281
Kinikinau,Kinikinau,,-19.1667,-54.0333,guan1270,,,Kinikinao,araw1281
Kurripako,Kurripako,,,,korr1239,,,Korripako,araw1281
Lokono,Lokono,,5.64295,-56.9243,araw1276,,xd1336,Lokono,araw1281
Maipure,Maipure,,4.8,-67.5,maip1246,,,Maipure,araw1281
Manao,Manao,,-0.540066,-64.5186,mana1299,,,Manao,araw1281
Mandawaka,Mandawaka,,1.48,-66.52,mand1448,,,Mandahuaca,araw1281
Manxineri,Manxineri,,-10.661655,-70.208108,mach1268,,,Machinere,araw1281
Marawa,Marawa,,-3,-67.512818,mara1409,,,Maragua,araw1281
Marawan,Marawan,,3.9,-51.8,mara1408,,,Marawan,unat1236
Mariate,Mariate,,-1.676121,-71.149307,uain1239,,,Uainuma-Mariate,araw1281
Matchiguenga,Matchiguenga,,-12.1291,-72.5017,mach1267,,,Machiguenga,araw1281
Mawayana,Mawayana,,1.190187,-58.585983,mapi1252,,,Mapidian-Mawayana,araw1281
Mehinaku,Mehinaku,,-12.5364,-53.521,mehi1240,,,Mehináku,araw1281
Nomatsiguenga,Nomatsiguenga,,-11.5349,-74.4371,noma1263,,,Nomatsiguenga,araw1281
Palikur,Palikur,,3.63993,-51.6246,pali1279,,xd1355,Palikúr,araw1281
Paraujano,Paraujano,,10.8427,-71.8399,para1316,,xd1330,Paraujano,araw1281
Paresi,Paresi,,-14.5929,-57.4059,pare1272,,xd1404,Parecís,araw1281
Pase,Pase,,-2.596949,-68.468643,pass1250,,,Passe,araw1281
Piapoco,Piapoco,,4.37718,-68.5953,piap1246,,xd1343,Piapoco,araw1281
Piro,Piro,,-11.1086,-73.3087,yine1238,,xd1381,Yine,araw1281
Resigaro,Resigaro,,-1.169535,-71.60524,resi1247,,,Resígaro,araw1281
Saraveka,Saraveka,,-16.07,-57.8,sara1331,,,Saraveca,araw1281
Taino,Taino,,18.2836,-66.8042,tain1254,,xd1333,Taino,araw1281
Tariana,Tariana,,0.440205,-68.9042,tari1256,,,Tariana,araw1281
Terena,Terena,,-20.6614,-56.0329,tere1279,,xd1389,Terena-Kinikinao-Chane,araw1281
Trinitario,Trinitario,,-15.3331,-65.4096,trin1274,,,Trinitario-Javeriano-Loretano,araw1281
Wainuma,Wainuma,,-1.676121,-71.149307,uain1239,,,Uainuma-Mariate,araw1281
Wapixana,Wapixana,,2.58744,-59.8021,wapi1253,,xd1348,Wapishana,araw1281
Waraicu,Waraicu,,-3.104315,-67.2052,arai1239,,,Araicu,araw1281
Warekena,Warekena,,2.904099,-67.092099,ware1255,,,Warekena do San Miguel,araw1281
Waura,Waura,,-13.296,-53.6971,waur1244,,,Waurá,araw1281
Yavitero,Yavitero,,2.9248440000000002,-67.438886,yavi1244,,,Yavitero-Pareni,araw1281
Yawalapiti,Yawalapiti,,-12.5104,-53.4236,yawa1261,,,Yawalapití,araw1281
Yukuna,Yukuna,,-0.76075,-71.0033,yucu1253,,,Yucuna,araw1281
Yumana,Yumana,,-1.930054,-68.295609,juma1250,,,Jumana,araw1281
